,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
370,306,,,,,,,,
371,1530,143.9,157.9,145.9,,13.10.2021,13.10.2021,13.10.2021,
372,307,143.9,,145.9,,13.10.2021,,13.10.2021,
373,1717,,158.9,148.8,,,13.10.2021,13.10.2021,
374,310,143.9,,145.9,,17.10.2021,,17.10.2021,
375,1720,143.9,,146.9,159.9,13.10.2021,,13.10.2021,13.10.2021
376,301,,,,,,,,
377,309,143.9,158.9,144.9,,13.10.2021,15.10.2021,13.10.2021,
378,298,141.9,,142.9,,13.10.2021,,13.10.2021,
379,1718,136.9,,138.9,,13.10.2021,,13.10.2021,
380,1527,145.9,,149.9,,13.10.2021,,14.10.2021,
381,1891,,,,,,,,
382,1164,149.9,,,165.9,13.10.2021,,,13.10.2021
383,1529,145.9,,149.9,,13.10.2021,,13.10.2021,
384,1160,142.9,156.9,145.9,,13.10.2021,13.10.2021,13.10.2021,
385,1523,,159.9,149.9,165.9,,13.10.2021,13.10.2021,13.10.2021
386,1371,138.9,,140.9,,13.10.2021,,13.10.2021,
387,490,145.9,,149.9,,14.10.2021,,14.10.2021,
388,290,139.9,,143.9,156.9,13.10.2021,,13.10.2021,13.10.2021
389,1147,141.9,,144.9,158.9,13.10.2021,,13.10.2021,13.10.2021
390,296,138.9,152.9,143.9,155.9,13.10.2021,13.10.2021,14.10.2021,13.10.2021
391,12516,141.9,,146.9,,14.10.2021,,14.10.2021,
392,1158,141.9,,145.9,,13.10.2021,,13.10.2021,
393,1693,141.9,155.9,143.9,157.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
394,1150,,,145.9,,,,13.10.2021,
395,1146,142.9,150.9,146.9,,13.10.2021,13.10.2021,13.10.2021,
396,494,,144.9,148.9,,,14.10.2021,14.10.2021,
397,1692,144.9,,149.9,,16.10.2021,,16.10.2021,
398,8020,138.9,,143.9,,13.10.2021,,13.10.2021,
399,714,,,,,,,,
400,1135,142.9,,145.9,159.9,13.10.2021,,13.10.2021,13.10.2021
401,1139,142.9,153.9,146.9,,13.10.2021,09.10.2021,14.10.2021,
402,1140,136.9,,142.9,,13.10.2021,,13.10.2021,
403,1141,137.8,,141.8,,13.10.2021,,13.10.2021,
404,25,135.9,140.9,137.9,,13.10.2021,10.10.2021,13.10.2021,
