,station_id,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
221,4578,141.9,,142.9,156.9,16.10.2021,,13.10.2021,13.10.2021
222,1184,141.9,153.9,142.9,,16.10.2021,13.10.2021,14.10.2021,
223,7241,139.9,,144.9,,13.10.2021,,13.10.2021,
224,1112,139.9,,142.9,156.9,13.10.2021,,13.10.2021,13.10.2021
225,1156,,153.9,142.9,153.9,,13.10.2021,13.10.2021,13.10.2021
226,1187,139.9,159.9,143.9,163.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
227,12483,140.9,,142.9,,13.10.2021,,13.10.2021,
228,219,138.8,145.9,141.8,,15.10.2021,13.10.2021,15.10.2021,
229,1867,137.8,,141.8,,15.10.2021,,15.10.2021,
230,1102,139.9,146.9,141.9,,18.10.2021,13.10.2021,18.10.2021,
231,1104,139.0,150.9,139.9,,13.10.2021,09.10.2021,13.10.2021,
232,1173,142.9,,145.9,165.9,13.10.2021,,14.10.2021,13.10.2021
233,1373,141.9,159.9,144.9,165.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
234,1157,137.0,,140.0,,13.10.2021,,13.10.2021,
235,1152,142.9,,145.9,,13.10.2021,,13.10.2021,
236,138,141.9,145.9,145.9,,18.10.2021,14.10.2021,18.10.2021,
237,137,141.9,155.9,143.9,157.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
238,140,141.9,142.9,145.9,,12.10.2021,13.10.2021,14.10.2021,
239,142,142.9,,145.9,,13.10.2021,,13.10.2021,
240,1171,,,144.9,,,,14.10.2021,
241,1170,142.9,,143.9,,13.10.2021,,16.10.2021,
242,1079,142.9,156.9,143.9,157.9,14.10.2021,14.10.2021,16.10.2021,14.10.2021
243,1129,139.9,146.9,141.9,,16.10.2021,16.10.2021,16.10.2021,
244,54,143.9,,145.9,,16.10.2021,,13.10.2021,
245,148,141.9,,147.9,,13.10.2021,,13.10.2021,
246,151,147.9,,149.0,,14.10.2021,,12.10.2021,
247,9188,139.9,,142.9,,16.10.2021,,16.10.2021,
248,1169,143.9,,145.9,,13.10.2021,,13.10.2021,
249,1172,143.9,,148.9,,16.10.2021,,16.10.2021,
250,224,142.9,,,165.9,13.10.2021,,,13.10.2021
251,1080,147.9,,149.9,,14.10.2021,,13.10.2021,
252,51,138.9,,141.9,,13.10.2021,,13.10.2021,
253,48,143.9,158.9,145.9,160.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
254,56,140.9,,143.9,,13.10.2021,,13.10.2021,
255,1082,,,144.9,,,,14.10.2021,
256,156,142.9,,147.9,,18.10.2021,,18.10.2021,
257,157,139.9,,144.9,,18.10.2021,,18.10.2021,
258,161,139.9,,144.9,153.9,18.10.2021,,18.10.2021,13.10.2021
259,1054,139.9,,144.9,,18.10.2021,,18.10.2021,
260,1055,136.9,,141.9,,13.10.2021,,13.10.2021,
261,8022,139.9,139.9,,,13.10.2021,14.10.2021,,
262,1039,137.9,151.9,141.9,,18.10.2021,18.10.2021,18.10.2021,
263,1038,138.9,,140.9,,14.10.2021,,14.10.2021,
264,1857,139.9,,143.9,165.9,13.10.2021,,13.10.2021,13.10.2021
265,1035,,,,,,,,
266,1037,137.9,151.9,139.9,153.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
267,17980,141.9,,144.9,165.9,14.10.2021,,14.10.2021,13.10.2021
268,217,137.9,,136.9,,13.10.2021,,13.10.2021,
269,216,139.9,,143.9,,16.10.2021,,16.10.2021,
270,213,136.9,,,,13.10.2021,,,
271,1060,139.9,159.9,141.9,,18.10.2021,18.10.2021,18.10.2021,
272,1034,136.9,,141.9,,13.10.2021,,13.10.2021,
273,1059,143.9,,145.9,,13.10.2021,,13.10.2021,
274,11857,,,,,,,,
275,1020,138.9,151.9,142.9,156.9,15.10.2021,13.10.2021,15.10.2021,13.10.2021
276,1025,137.9,151.9,141.9,,13.10.2021,13.10.2021,14.10.2021,
277,1024,133.9,140.9,136.9,,13.10.2021,14.10.2021,13.10.2021,
278,1005,143.9,,145.9,,13.10.2021,,13.10.2021,
279,1007,144.9,159.9,146.9,165.9,13.10.2021,13.10.2021,13.10.2021,13.10.2021
280,1021,143.9,,146.9,,13.10.2021,,13.10.2021,
281,1023,136.9,,141.9,,13.10.2021,,14.10.2021,
282,1022,142.9,,144.9,,13.10.2021,,13.10.2021,
283,1016,137.9,142.9,140.9,,16.10.2021,13.10.2021,16.10.2021,
284,1009,144.9,,146.9,,16.10.2021,,13.10.2021,
285,1008,143.9,,145.9,,13.10.2021,,13.10.2021,
286,130,139.9,,142.9,,13.10.2021,,14.10.2021,
287,132,,139.9,143.9,,,14.10.2021,14.10.2021,
288,127,139.9,,142.9,,13.10.2021,,14.10.2021,
289,129,139.9,,142.9,,16.10.2021,,16.10.2021,
290,17508,141.9,,143.9,157.9,13.10.2021,,13.10.2021,13.10.2021
291,125,143.9,,145.9,,16.10.2021,,13.10.2021,
292,1014,143.9,156.9,145.9,,16.10.2021,13.10.2021,13.10.2021,
293,25051,136.7,,139.7,,13.10.2021,,13.10.2021,
294,2241,139.9,139.9,143.9,153.9,13.10.2021,14.10.2021,14.10.2021,12.10.2021
295,1011,143.9,,146.9,,16.10.2021,,14.10.2021,
296,1012,143.9,,146.9,,16.10.2021,,13.10.2021,
297,18002,138.9,,140.9,,17.10.2021,,17.10.2021,
298,8871,136.9,140.9,138.9,,16.10.2021,16.10.2021,16.10.2021,
299,1559,144.9,,147.9,165.9,13.10.2021,,13.10.2021,13.10.2021
300,3706,141.9,,143.9,,13.10.2021,,13.10.2021,
301,1558,,144.9,149.9,,,13.10.2021,14.10.2021,
302,1270,135.9,142.9,138.9,,13.10.2021,13.10.2021,13.10.2021,
303,1271,,,143.9,,,,14.10.2021,
304,12283,,,,,,,,
305,1302,139.9,,142.9,,13.10.2021,,13.10.2021,
306,6591,,,,,,,,
307,26131,135.7,,137.7,,13.10.2021,,13.10.2021,
308,1291,135.9,,138.9,,13.10.2021,,13.10.2021,
309,1253,,,147.9,,,,13.10.2021,
310,1250,142.9,156.9,142.9,,13.10.2021,13.10.2021,14.10.2021,
311,1880,135.9,142.9,137.9,,13.10.2021,12.10.2021,13.10.2021,
312,1247,,,145.9,154.9,,,13.10.2021,13.10.2021
313,1266,141.9,141.9,,,13.10.2021,14.10.2021,,
314,1305,,,148.9,,,,13.10.2021,
