,name,station_id,station_location,CAR WASH,AIR & WATER,CAR VACUUM,24/7 OPENING HOURS,TOILET,CONVENIENCE STORE,ATM,PARKING FACILITIES,DISABLED TOILET/BABY CHANGE,ALCOHOL,WI-FI,HGV/PSV FUELING,FUELSERVICE,PAYPHONE,RESTAURANT,ELECTRIC CAR CHARGING,REPAIR GARAGE,SHOWER FACILITIES
101,SAINSBURYS PURLEY WAY,1107,"PURLEY WAY, CR0 3JW",,True,,,,True,True,True,,True,,True,True,,,True,,
102,BP MITCHAM ROAD (MITCHAM ROAD SF CONNECT),1111,"MITCHAM ROAD, CR0 3RU",,,,,,,,,,,,,,,,,,
103,ASDA WALLINGTON AUTOMAT,26017,"MARLOWE WAY, CR0 4XS",True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True
104,BP SHIRLEY ROAD (SHIRLEY SF CONNECT),1122,"SHIRLEY ROAD, CR0 8SS",,True,,,True,True,True,True,,True,,,,,,,,
105,TEXACO MAIN ROAD (CO-OP APERFIELD COURT),12366,"MAIN ROAD, TN16 3DX",,,,,,True,True,True,,True,,,,,,,,
106,SHELL EASTBOURNE ROAD (HKS SOUTH GODSTONE),7983,"EASTBOURNE ROAD, RH9 8EZ",True,True,True,,,True,,True,,True,True,,,,,,,
107,BP SOUTH CROYDON (ADDINGTON SF CONNECT),1120,"SELSDON PARK ROAD, CR2 8JH",True,True,,,True,True,,True,True,True,,,,,,,,
108,SHELL KENT GATE WAY (SHELL ADDINGTON),1121,"KENT GATE WAY, CR0 5AR",,,,,,,,,,,,,,,,,,
109,ESSO OXTED (RSS OLD OXTED),11613,"HIGH STREET, RH8 9LN",,,,,,,,,,,,,,,,,,
110,ESSO LOWER ADDISCOMBE ROAD (ADDISCOMBE EXPRESS),1126,"LOWER ADDISCOMBE ROAD, CR0 6AD",,True,,,,True,,,,True,,,,,,,,
111,ESSO SHIRLEY ROAD (CROYDON EXPRESS),12513,"SHIRLEY ROAD, CR0 7ER",True,,,,,,,,,,,,,,,,True,
112,ESSO WICKHAM ROAD (WEST WICKHAM EXPRESS),1864,"WICKHAM ROAD, CR0 8DN",True,True,,,,,True,True,,,,,,,,,,
113,M25 CLACKET LANE CONNECT MOTORWAY SERVICE AREA EASTBOUND,10619,"M25 J5-6, TN16 2ER",,,,,,,,,,,,,,,,,,
114,SHELL LEAVES GREEN ROAD (TOLLGATE SERVICE STATION),1838,"LEAVES GREEN ROAD, BR2 6DQ",,,,,,,,,,,,,,,,,,
115,BP LONDON ROAD (WESTERHAM SERVICE STATION),5657,"LONDON ROAD, TN16 2DJ",,,,,,,,,,,,,,,,,,
