,name,station_id,station_location,lat,lng,unleaded,super_unleaded,diesel,premium_diesel,station_unleaded_date,station_super_unleaded_date,station_diesel_date,station_premium_diesel_date
94,ESSO BRIGHTON ROAD (MFG WHITGIFT),1115,"BRIGHTON ROAD, CR2 6EE",51.3587022,-0.0974835999999999,139.9,,144.9,165.9,13.10.2021,,13.10.2021,13.10.2021
95,ESSO SELSDON PARK ROAD (RSS FORESTDALE),1119,"SELSDON PARK ROAD, CR2 8JT",51.350704,-0.039868,142.9,,144.9,,17.10.2021,,17.10.2021,
96,SHELL KENT GATE WAY (SHELL ADDINGTON),1121,"KENT GATE WAY, CR0 5AR",51.3570679,-0.0334559,139.9,,,,17.10.2021,,,
97,ESSO PURLEY WAY (MFG WADDON COURT),1109,"PURLEY WAY, CR0 4NX",51.3698175,-0.1171016,139.9,,144.9,,16.10.2021,,16.10.2021,
98,ESSO OXTED (RSS OLD OXTED),11613,"HIGH STREET, RH8 9LN",51.25312419999999,-0.013626,140.9,,146.9,,16.10.2021,,16.10.2021,
99,SHELL OXTED (SHELL OXTED),7188,"CHURCH LANE, RH8 9NB",51.2586226,-0.0066603999999999,142.9,153.9,147.9,154.9,17.10.2021,11.10.2021,17.10.2021,11.10.2021
100,BP BEDDINGTON LANE (BEDDINGTON LANE SERVICE STATION),1114,"BEDDINGTON LANE, CR0 4TJ",51.373148,-0.131839,142.9,,146.9,,15.10.2021,,15.10.2021,
101,SAINSBURYS PURLEY WAY,1107,"PURLEY WAY, CR0 3JW",51.3758022,-0.1177948,134.9,140.9,137.9,,16.10.2021,15.10.2021,16.10.2021,
102,ASDA WALLINGTON AUTOMAT,26017,"MARLOWE WAY, CR0 4XS",51.3768482,-0.1301372,138.7,,139.7,,18.10.2021,,18.10.2021,
103,TEXACO MAIN ROAD (CO-OP APERFIELD COURT),12366,"MAIN ROAD, TN16 3DX",51.31454919999999,0.033829,141.9,,147.9,,18.10.2021,,18.10.2021,
104,ESSO SHIRLEY ROAD (CROYDON EXPRESS),12513,"SHIRLEY ROAD, CR0 7ER",51.3817431,-0.0630133,136.9,,142.9,,18.10.2021,,18.10.2021,
105,SHELL EASTBOURNE ROAD (HKS SOUTH GODSTONE),7983,"EASTBOURNE ROAD, RH9 8EZ",51.2192654,-0.0487881,139.9,,147.9,147.9,17.10.2021,,17.10.2021,13.10.2021
