,name,station_id,station_location
210,TEXACO UPPER RICHMOND ROAD WEST (EAST SHEEN SERVICE STATION),8079,"UPPER RICHMOND ROAD WEST, SW14 7ED"
211,SHELL ISLEWORTH (MFG ISLEWORTH),1423,"TWICKENHAM ROAD, TW7 7ES"
212,SAINSBURYS RICHMOND,18398,"LOWER RICHMOND ROAD, TW9 4LT"
213,BP LOWER MORTLAKE ROAD (BEACON FILLING STATION),80,"LOWER MORTLAKE ROAD, TW9 2LL"
214,SHELL LOWER RICHMOND ROAD (SHELL RICHMOND),81,"LOWER RICHMOND ROAD, TW9 4LJ"
215,ESSO MERTON ROAD (WIMBLEDON EXPRESS),208,"MERTON ROAD, SW19 1EQ"
216,ESSO SHEEN LANE (MFG MORTLAKE),8080,"SHEEN LANE, SW14 8LW"
217,ESSO MITCHAM (MFG WANDLE),1412,"BISHOPSFORD ROAD, SM4 6AP"
218,SAINSBURYS MERTON,1870,"MERANTUN WAY, SW19 1DD"
219,SHELL WESTERN ROAD (SHELL WESTERN ROAD),1179,"WESTERN ROAD, SW19 2QD"
220,ESSO HIGH STREET (COLLIERS WOOD EXPRESS),1178,"HIGH STREET, SW19 2BN"
221,SHELL PLOUGH LANE (SHELL PLOUGH LANE),4578,"PLOUGH LANE, SW17 0BW"
222,ESSO GARRATT LANE (RSS GARRATT LANE),1184,"GARRATT LANE, SW17 0NP"
223,SHELL ROWAN ROAD (MFG ROWAN ROAD),7241,"ROWAN ROAD, SW16 5JF"
224,BP MITCHAM ROAD (RSS FERNSIDE),1112,"MITCHAM ROAD, CR0 3AB"
225,BP TRINITY ROAD (TRINITY SF CONNECT),1156,"TRINITY ROAD, SW17 7HW"
226,SHELL MERTON ROAD (HKS RIVERSDALE),1187,"MERTON ROAD, SW18 5JS"
227,ESSO BALHAM HIGH ROAD (BALHAM EXPRESS),12483,"BALHAM HIGH ROAD, SW17 7BQ"
228,UNBRANDED STREATHAM HIGH ROAD (STREATHAM COMMON SERVICE STATION),219,"STREATHAM HIGH ROAD, SW16 3BS"
229,TOTAL LONDON (TOTAL NORBURY),1867,"LONDON ROAD, SW16 4DH"
230,TESCO NORBURY EXPRESS,1102,"LONDON ROAD, CR7 7ND"
231,ESSO THORNTON HEATH (NEW PARK EXPRESS),1104,"LONDON ROAD, CR7 6JH"
232,SHELL WEST HILL (MFG PUTNEY),1373,"WEST HILL, SW15 2UE"
233,ESSO STERNHOLD AVENUE (MFG STREATHAM),1173,"STERNHOLD AVENUE, SW2 4PB"
234,SAINSBURYS BALHAM,1157,"NIGHTINGALE LANE, SW12 8SY"
235,SHELL BALHAM HILL (SHELL BALHAM),1152,"BALHAM HILL, SW12 9DP"
236,SAINSBURYS CRYSTAL PALACE,138,"WHITEHORSE LANE, SE25 6XB"
